KD-Nr.;Firma;Land;PLZ;Ort;UmsatzKL;Verk.;SP;SP2;Bl;Umsatz AJ;Umsatz VJ;Umsatz VVJ;l Besuch;UK;PN1;PN2;NKEB;WV;WV u;QB;VP
50;nyzlbzi;D;4668;Gütersloh;;44;;;;;;;;;;;;;;;
52;vmnukhgmdt;D;47877;Loxstedt;;9;;;;;;;;;;;;;;;
55;kbyowatrlvmcvpetjx;D;21077;Klagenfurt;;5;;;;;;;;;;;;;;;
56;uirvrnb;D;24943;Luxemburg/ Kirchberg;;1.616;;;;;;;;;;;;;;;
57;ludevvuosejofcnppo;D;18435;Bergheim;;1.616;;;;;;;;;;;;;;;
58;nyvqdeicz;D;18445;Isny;;1.616;;;;;;;10.12.2009;;;;;;;;
59;elbyfds;D;18435;München;;1.616;;;;;;;16.01.2009;;;;;;;;
60;mygnk;D;18437;Heidelberg;;1.616;;;;;;;;;;;;;;;
61;eyc;D;37075;Tittmoning;;1.616;;;;;;;;;;;;;;;
62;pa;D;37073;Bischofswiesen;;1.616;;;;;;;;;;;;;;;
63;wrgboxd;D;37083;Erlangen;;1.616;;;;;;;22.01.2009;;;;;;;;
64;gskrorteoqcdlxhf;D;37085;Ebersbach-Neugersdorf;;1.616;;;;;;;;;;;;;;;
65;oejqqbonfjlcybce;D;37085;Bensheim;;1.616;;;;;;;;;;;;;;;
66;aryzwsbmsa;D;34121;Sandkrug;;1.616;;;;;;;;;;;;;;;
67;xkcttdfthqssge;D;37079;Kappeln;;1.616;;;;;;;;;;;;;;;
68;qifxwxgalid;D;37073;Hallein;;1.616;;;;;;;;;;;;;;;
70;hcudmqxyqzjr;D;37073;Fürth;;1.616;;;;;;;;;;;;;;;
71;dlqeakiudjbslzh;D;17036;Freilassing;;1.616;;;;;;;;;;;;;;;
72;zqmmttmexogly;D;17033;München;;1.616;;;;;;;;;;;;;;;
74;mhxxigtmusiqi;D;17034;Oberndorf am Neckar;;1.616;;;;;;;;;;;;;;;
75;xatxovfdyuevhww;D;17034;Dorsten;;1.616;;;;;;;25.03.2010;;;;;;;;
76;vjfoelnsisjbtosus;D;17033;Bedburg;;1.616;;;;;;;;;;;;;;;
77;wjawmartainvlaxg;D;17033;Frankfurt am Main;;1.616;;;;;;;;;;;;;;;
78;o;D;17033;Schloß Holte-Stukenbrock;;1.616;;;;;;;;;;;;;;;
79;pwxbvkoivwnf;D;22767;Tulzing;;1.616;;;;;;;;;;;;;;;
80;bkkjunc;D;19053;Eschwege;;1.616;;;;;;;;;;;;;;;
81;zledxyirfvwkcvzr;D;19053;Mainhausen-Zellhausen;;1.616;;;;;;;13.04.2010;;;;;;;;
82;ecyfrayq;D;19053;Oestrich-Winkel;;1.616;;;;;;;;;;;;;;;
84;rfrqqwbbhbll;D;2999;Mayen;;44;;;;;;;;;;;;;;;
86;wbca;D;3130;München;;44;;;;;;;20.01.2009;;;;;;;;
87;tyicxg;D;3046;Köln;;44;;;;;;;17.04.2009;;;;;;;;
88;hjcyhd;D;3048;Bad Homburg;;44;;;;;;;10.08.2009;;;;;;;;
89;pakocdaahjbvsyeui;D;3050;Nittenau;;44;;;;;;;22.01.2009;;;;;;;;
90;ftfbxiuzamnqaqsyv;D;89073;Großkugel;;22;;;;;;;;;;;;;;;
91;xhw;D;89073;Mandelbachtal;;22;;;;;;;02.02.2009;;;;;;;;
92;wmqfrmsgq;D;87435;München;;22;;;;;;;01.07.2009;;;;;;;;
93;sllzudcnitenfkzls;D;87439;Braunschweig;;22;;;;;;;09.07.2012;;;;;;;;
95;ppgrlxitddjnuf;D;87534;Bautzen;;22;;;;;;;;;;;;;;;
96;o;D;87600;Rosbach v. d. H.;;22;;;;;;;12.07.2012;;;;;;;;
97;nzveunhkvjptskh;D;86899;Düsseldorf;;22;;;;;;;24.04.2012;;;;;;;;
98;ydu;D;89415;Fürth;;22;;;;;;;;;;;;;;;
99;dq;D;86825;Berlin;;22;;;;;;;05.02.2009;;;;;;;;
100;p;D;3046;Detmold;;44;;;;;;;22.09.2010;;;;;;;;
102;dzsbnkoqyythperi;D;3046;Nürnberg;;44;;;;;;;10.08.2009;;;;;;;;
103;lkbawkzqjnbiccws;D;66129;Forst/ Lausitz;;2;;;;;;;;;;;;;;;
104;tad;D;41061;Braunschweig;;9;;;;;;;10.11.2010;;;;;;;;
105;gsvizptfzaxepjnf;D;47798;Berlin;;9;;;;;;;24.07.2009;;;;;;;;
106;cpszhwfubworplhv;D;47799;Köln;;9;;;;;;;14.06.2011;;;;;;;;
107;sinyxmvblndv;D;47918;Schmallenberg;;9;;;;;;;02.06.2010;;;;;;;;
108;redwzrkfjs;D;69207;Regensburg ;;2;;;;;;;29.05.2009;;;;;;;;
109;uqtcacmfvlpykttbov;D;82049;Mechernich;;22;;;;;;;21.02.2014;;;;;;;;
110;urzxt;D;4161;Kaufbeuren;;9;;;;;;;09.02.2009;;;;;;;;
111;e;D;41236;Cavalcaselle di Castelnuovo dG;;9;;;;;;;06.07.2009;;;;;;;;
112;ezbmtcquf;D;82110;Rheinstetten;;22;;;;;;;;;;;;;;;
113;b;D;82110;Freiburg;;22;;;;;;;;;;;;;;;
115;krf;D;22587;Bremen;;5;;;;;;;13.01.2015;;;;;;;;
116;mgtukqfbd;D;1796;Beckingen;;44;;;;;;;;;;;;;;;
117;krowizot;D;21335;Bergisch-Gladbach;;15;;;;;;;01.04.2015;;;;;;;;
118;ystgcrb;D;21365;Hannover;;15;;;;;;;29.04.2015;;;;;;;;
119;svmuxdfhhbnzu;D;82467;Deggendorf;;22;;;;;;;;;;;;;;;
120;nlzuu;D;44141;Schwäbisch Hall;;;;;;;;;18.07.2011;;;;;;;;
121;y;D;20457;Goßra;;1.616;;;;;;;23.02.2009;;;;;;;;
122;hheuucnphvfgq;D;20459;Oppenheim;;1.616;;;;;;;;;;;;;;;
123;mwljypxnlylmjc;D;22457;Warburg;;1.616;;;;;;;;;;;;;;;
124;kxinps;D;26122;Berlin-Prenzlauer-Berg;;15;;;;;;;20.08.2013;;;;;;;;
125;avl;D;22453;Hamburg;;5;;;;;;;07.07.2011;;;;;;;;
126;rv;D;20144;Seelbach;;5;;;;;;;09.04.2015;;;;;;;;
128;usjlylhrc;D;20457;Graz;;5;;;;;;;06.11.2014;;;;;;;;
129;hjydmdocdomptetkpe;D;1324;Pocking;;44;;;;;;;20.07.2009;;;;;;;;
130;kfnr;D;4600;Hirschau;;44;;;;;;;;;;;;;;;
131;jegnnfl;D;7545;Geesthacht;;44;;;;;;;16.02.2009;;;;;;;;
132;ezdkcunsdjr;D;7552;Rauenberg;;44;;;;;;;;;;;;;;;
133;ief;D;7545;Hochdorf-Assenheim;;44;;;;;;;16.02.2009;;;;;;;;
134;xfdmpfoiavdyjnc;D;7552;Tehran;;44;;;;;;;;;;;;;;;
135;eysyofwarkiy;D;9130;Ortenburg;;44;;;;;;;;;;;;;;;
136;nuajgimyh;D;9116;Schwalmstadt;;44;;;;;;;;;;;;;;;
137;ajsxnrm;D;;Gelsenkirchen;;5;;;;;;;09.03.2009;;;;;;;;
138;esdtbqb;D;55130;Herne-Röhlinghausen;;;;;;;;;;;;;;;;;
139;pdwsrjqg;D;48149;Heilbad Heiligenstadt;;;;;;;;;10.02.2010;;;;;;;;
140;gl;D;38102;Herdwangen;;;;;;;;;16.11.2010;;;;;;;;
141;naucptmotakqyyfs;D;60388;Wartenberg;;7;;;;;;;06.02.2013;;;;;;;;
144;zwnxzextbqbsqrmrxt;D;39418;Trippstadt;;12;;;;;;;19.06.2009;;;;;;;;
145;p;D;38102;Altenburg;;12;;;;;;;09.10.2009;;;;;;;;
146;vzyptylul;D;;Aschaffenburg;;9;;;;;;;27.07.2009;;;;;;;;
147;uuzbldqqabbn;D;53773;Burghausen;;14;;;;;;;;;;;;;;;
148;gldro;D;87437;Garmisch-Partenkirchen;;22;;;;;;;;;;;;;;;
149;lwidocfqreffgjsj;D;26129;Sarstedt;;15;;;;;;;26.11.2014;;;;;;;;
151;ifljtvc;D;21756;Berlin;;1.001;;;;;;;22.03.2011;;;;;;;;
152;twczzjatfpl;D;93133;Gohrisch;;1.001;;;;;;;16.02.2010;;;;;;;;
153;yxx;D;89518;Bayreuth;;1.001;;;;;;;;;;;;;;;
158;c;D;26203;Wesel;;15;;;;;;;31.03.2009;;;;;;;;
159;jkg;D;85774;Würzburg;;1.001;;;;;;;11.05.2009;;;;;;;;
160;ycrcrodfzmovmud;D;84130;Seekirchen;;1.001;;;;;;;;;;;;;;;
161;zdoylpwnyc;D;8529;Essen-Kettwig;;1.001;;;;;;;21.04.2009;;;;;;;;
162;ikymzwhlrdvg;D;47443;Northeim;;1.001;;;;;;;;;;;;;;;
163;gjsiulyzbhrzreo;D;45130;Wuppertal;;1.001;;;;;;;27.01.2011;;;;;;;;
164;gobpxnd;D;56355;Bad Münstereifel;;14;;;;;;;28.07.2011;;;;;;;;
165;o;D;90475;Sangerhausen;;1.001;;;;;;;;;;;;;;;
166;rtwtkoczhkhalhxrk;D;44145;Sharjah;;1.001;;;;;;;;;;;;;;;
168;a;D;;Ledermoos;;9;;;;;;;;;;;;;;;
169;ayewhgwwxwjoyteez;D;86842;Hamburg;;22;;;;;;;25.06.2009;;;;;;;;
172;xg;D;4105;Nürnberg;;44;;;;;;;02.04.2009;;;;;;;;
174;eruxiirugpxvlyjmz;D;63263;Floß;;1.001;;;;;;;;;;;;;;;
175;tsjcxfnwphs;D;87439;Schwarzenberg;;22;;;;;;;20.04.2009;;;;;;;;
176;bcqqhl;D;67157;Tettnang;;1.001;;;;;;;;;;;;;;;
177;pyse;D;51465;Hückelhoven-Baal;;1.001;;;;;;;21.07.2011;;;;;;;;
178;gfwjhr;D;40476;Nortorf;;1.001;;;;;;;;;;;;;;;
179;lgpadvyocyjkviq;D;50933;Neufahrn;;1.001;;;;;;;;;;;;;;;
180;spkh;D;78606;Düsseldorf;;1.001;;;;;;;07.04.2010;;;;;;;;
181;hflbpuwmvqxkcoqrse;D;85748;Münster;;1.001;;;;;;;29.04.2013;;;;;;;;
182;pypgaobfqkn;D;88214;Kulmbach;;22;;;;;;;16.04.2009;;;;;;;;
183;sugfnjdsiad;D;78658;Schongau;;1.001;;;;;;;;;;;;;;;
184;wbvowwqeanojzib;D;35039;Brühl;;7;;;;;;;;;;;;;;;
185;vycjmfuda;D;86485;Mönchengladbach;;22;;;;;;;06.04.2009;;;;;;;;
186;limgohurfukeiaak;D;17321;Hetzerath;;1.001;;;;;;;;;;;;;;;
187;iznhfoznvzodj;D;84489;Appenweier;;1.001;;;;;;;;;;;;;;;
188;kbotkzlszhpvqmo;D;8645;Borna;;1.001;;;;;;;06.05.2009;;;;;;;;
189;lacaxnmcjrfsl;D;50321;Marl;;1.001;;;;;;;;;;;;;;;
190;wroscj;D;79102;Kirchardt;;1.001;;;;;;;;;;;;;;;
191;crofzaareodvnxhycn;D;12095;Landshut;;1.001;;;;;;;;;;;;;;;
192;sq;D;75179;Marbach;;1.001;;;;;;;;;;;;;;;
194;nqgwgb;D;;Wildau;;1.616;;;;;;;09.04.2009;;;;;;;;
195;agenkbahtovmjfjhqa;D;47053;Braunschweig;;1.001;;;;;;;;;;;;;;;
196;wmnpjhvnfceonx;D;33609;Schwerin;;1.001;;;;;;;;;;;;;;;
197;dqhyqlfqhsusuwm;D;13503;Rendsburg;;1.001;;;;;;;;;;;;;;;
199;vp;D;67655;Bochum;;1.001;;;;;;;;;;;;;;;
200;ntfvmwnibrlkyficb;D;28359;Zwiesel;;1.001;;;;;;;;;;;;;;;
201;zvhwwzyyfxe;D;42555;Mülheim an der Ruhr;;1.001;;;;;;;26.04.2010;;;;;;;;
202;ychtconzrrpiufbcf;D;67480;Hamburg;;1.001;;;;;;;;;;;;;;;
203;qwcixzpc;D;33330;Remscheid;;1.001;;;;;;;;;;;;;;;
204;jbhtfjikpqadb;D;51143;Döbeln;;1.001;;;;;;;;;;;;;;;
205;bpxtcf;D;;Gelnhausen;;1.001;;;;;;;18.12.2009;;;;;;;;
207;irlxjpheq;D;17034;Loxstedt;;1.001;;;;;;;;;;;;;;;
208;pxlvlrzzhsa;D;35041;Dachau;;1.001;;;;;;;;;;;;;;;
209;ntgxsqep;USA;48036;Mainz;;7.001;;;;;;;;;;;;;;;
210;vslgrqknuxrgct;D;37412;München;;12;;;;;;;14.08.2014;;;;;;;;
211;nuaydotvgfmtolcy;D;69190;Landau in der Pfalz;;1.001;;;;;;;;;;;;;;;
212;sauqm;D;78054;Schönau;;1.001;;;;;;;;;;;;;;;
213;svpedxhgzak;D;19057;Lustadt;;1.001;;;;;;;;;;;;;;;
214;mgeraqveqpxkydru;D;;Neumünster;;98;;;;;;;20.04.2009;;;;;;;;
215;qlmqdrxf;D;;Gelnhausen;;98;;;;;;;;;;;;;;;
216;ecdewrchuct;D;;Berlin;;98;;;;;;;;;;;;;;;
217;hnfutook;D;;Hamburg;;98;;;;;;;;;;;;;;;
218;qlgisjhflrtoyv;D;;Barsinghausen;;98;;;;;;;22.06.2009;;;;;;;;
219;ejwtxvrfcgczgsznns;D;18107;Wolfenbüttel;;98;;;;;;;10.12.2009;;;;;;;;
220;zhorhasapzkcb;D;18107;Heide;;98;;;;;;;;;;;;;;;
223;kaxqz;D;2763;Merenberg;;44;;;;;;;20.09.2012;;;;;;;;
224;gmrecdwuxhg;D;34466;Nagold;;11;;;;;;;24.08.2009;;;;;;;;
225;norrzvubej;D;34131;Hamburg;;11;;;;;;;26.07.2010;;;;;;;;
226;yun;D;34117;Eggingen;;11;;;;;;;21.05.2012;;;;;;;;
228;hugfhz;D;10551;Bitterfeld;;1.001;;;;;;;;;;;;;;;
229;ytzygroemcwyvfar;D;79112;Schwäbisch Hall;;1.001;;;;;;;;;;;;;;;
230;qoalwqyhazkwmly;D;69120;Augsburg;;6;;;;;;;;;;;;;;;
231;bxkidt;D;;Steyr;;6;;;;;;;17.10.2013;;;;;;;;
232;yyseucwxzoxc;D;45127;Bremen;;16;;;;;;;20.06.2012;;;;;;;;
233;feqxxsdw;D;17033;Schorndorf;;98;;;;;;;;;;;;;;;
234;jdpkme;D;;Georgsmarienhütte;;9;;;;;;;07.05.2009;;;;;;;;
235;heiq;D;;Ludwigshafen;;9;;;;;;;29.03.2010;;;;;;;;
236;vz;D;;Hannover;;6;;;;;;;21.11.2011;;;;;;;;
237;tqheoxgxvhvwxylnsq;D;34396;Kaarst;;11;;;;;;;28.06.2012;;;;;;;;
238;lrg;D;99974;Bad Kreuznach;;11;;;;;;;23.06.2011;;;;;;;;
239;wbiqmycsekhxs;D;34434;Altena;;11;;;;;;;15.06.2009;;;;;;;;
241;vrozwbssecfz;D;18107;Stuttgart;;98;;;;;;;;;;;;;;;
243;kxwynffdyunlpu;D;18435;Beerfelden;;98;;;;;;;10.12.2009;;;;;;;;
244;qgdizkudnbr;D;40764;Hamburg;;9;;;;;;;;;;;;;;;
245;wyxaqfjlrhyintml;D;;Hohenstein;;9;;;;;;;10.04.2012;;;;;;;;
246;dlbtaduaapjfg;D;53179;Krefeld;;14;;;;;;;09.05.2009;;;;;;;;
247;ozyaihmerpjuvk;D;45468;Oldenburg;;16;;;;;;;06.09.2012;;;;;;;;
249;kbzzqfgcillfohjx;D;42781;Singen;;9;;;;;;;04.05.2015;;;;;;;;
250;sktbfspaoyok;D;65344;Bad Brückenau;;7;;;;;;;;;;;;;;;
251;pyipx;D;82386;Meckenbeuren;;22;;;;;;;12.05.2009;;;;;;;;
252;qiiuaqprkbfw;D;82383;Köln;;22;;;;;;;23.06.2009;;;;;;;;
253;elfbl;;;Solms;;;;;;;;;;;;;;;;;
254;btogewghiogqyv;D;53757;Frankfurt;;14;;;;;;;02.08.2011;;;;;;;;
255;evngohbyqcw;D;;Ingolstadt;;5;;;;;;;17.08.2009;;;;;;;;
256;rvmva;D;26129;Nürnberg;;98;;;;;;;;;;;;;;;
257;rkhvazhkolvf;D;44287;Cham;;19;;;;;;;02.09.2009;;;;;;;;
258;zzcnhygwhdkuvec;D;;Bad Gleichenberg;;5;;;;;;;02.04.2012;;;;;;;;
259;gyxwvk;D;;Boxberg;;5;;;;;;;15.06.2009;;;;;;;;
260;s;D;66849;Neustadt-Glewe;;2;;;;;;;17.06.2013;;;;;;;;
261;oei;D;;Heidelberg;;9;;;;;;;08.07.2010;;;;;;;;
263;f;D;47799;Jarmen;;9;;;;;;;14.06.2012;;;;;;;;
264;ee;HR;10000;Weißenhorn;;7.001;;;;;;;;;;;;;;;
265;mbnvzakuowgycbwc;D;26129;Halle;;1.001;;;;;;;;;;;;;;;
266;xboiikyetkrewxqspy;D;;Königsbrunn;;5;;;;;;;04.09.2009;;;;;;;;
268;pypnvlwhu;D;21465;Stralsund;;5;;;;;;;10.02.2012;;;;;;;;
269;kieeuyhljhpkgohbyl;D;21502;Burgwedel;;5;;;;;;;;;;;;;;;
270;eekihrscghep;D;21502;Köln;;5;;;;;;;23.09.2014;;;;;;;;
271;hosbyt;D;21502;Frankfurt;;5;;;;;;;07.04.2015;;;;;;;;
272;ybjdwkggby;D;21502;Pasewalk;;5;;;;;;;30.05.2012;;;;;;;;
273;cckqgaksfxgoqosqer;D;28201;Bendorf;;15;;;;;;;04.04.2013;;;;;;;;
274;dxuvhheat;D;;Hamburg;;6;;;;;;;25.01.2010;;;;;;;;
276;detlrnxi;D;1309;Rodgau;;44;;;;;;;16.04.2009;;;;;;;;
277;amwt;D;6112;Würzburg;;1.001;;;;;;;08.02.2011;;;;;;;;
278;iznnks;D;85253;Hamburg;;1.001;;;;;;;;;;;;;;;
279;vallptmsz;D;30627;Cottbus;;1.001;;;;;;;;;;;;;;;
280;qtqayygkieaypzd;D;;Bottrop;;12;;;;;;;04.05.2012;;;;;;;;
281;wl;D;61118;Friedeburg;;7;;;;;;;07.05.2009;;;;;;;;
282;krvrvonanf;D;97070;Flensburg;;1.001;;;;;;;;;;;;;;;
283;icsokfjljmfamyotr;D;85049;Euskirchen;;1.001;;;;;;;;;;;;;;;
284;fqvmuu;D;;Wismar;;1.001;;;;;;;;;;;;;;;
285;yeuuqrbjnjyctjsi;D;64747;Hemsbach;;1.001;;;;;;;;;;;;;;;
286;qmip;D;17489;Kerpen;;5;;;;;;;;;;;;;;;
287;bnchnf;D;80801;Düsseldorf;;1.001;;;;;;;;;;;;;;;
288;tlbqqssyqfocq;D;80801;Schwalmstadt;;1.001;;;;;;;;;;;;;;;
289;suqfojrtwbr;D;38122;Bergen;;1.001;;;;;;;;;;;;;;;
290;jatudpwixumjgl;D;26871;Aachen;;15;;;;;;;07.06.2013;;;;;;;;
291;dclupmouhporoearb;D;6779;Celle;;44;;;;;;;27.04.2009;;;;;;;;
292;zf;D;6779;Loddin;;44;;;;;;;31.08.2009;;;;;;;;
293;tbqw;D;4849;Wegberg;;44;;;;;;;27.04.2009;;;;;;;;
294;gzvdlefqtxqt;D;4849;Köln;;44;;;;;;;27.04.2009;;;;;;;;
295;kdwznmmtoueakgb;D;4849;Pinneberg;;44;;;;;;;27.04.2009;;;;;;;;
296;vdbz;IN;11002;Düsseldorf;;7.001;;;;;;;;;;;;;;;
297;twoutqbjfuekjlhk;D;52076;Berlin;;1.001;;;;;;;;;;;;;;;
298;kdvrcae;D;44805;Spremberg;;19;;;;;;;17.09.2013;;;;;;;;
299;indfnafphxauyme;D;48157;Eisenach;;1.001;;;;;;;;;;;;;;;
301;trfqiebirbfqrobhd;D;1309;Düsseldorf;;44;;;;;;;05.05.2009;;;;;;;;
302;wbkrhpxgt;D;1309;Lauffen;;44;;;;;;;05.05.2009;;;;;;;;
303;pfchzdsqvsact;D;1309;Salzburg;;44;;;;;;;05.05.2009;;;;;;;;
304;gw;D;1157;Ludwigshafen;;44;;;;;;;05.05.2009;;;;;;;;
305;sphkc;D;1906;Forchheim;;44;;;;;;;01.07.2009;;;;;;;;
306;emmbt;D;1877;München;;44;;;;;;;05.05.2009;;;;;;;;
307;tztbcro;D;;Potsdam;;5;;;;;;;26.03.2014;;;;;;;;
308;sruthvckyghhoette;D;82031;Dortmund;;22;;;;;;;;;;;;;;;
309;ogfxmohmlcbgydqzt;D;14199;München;;1.001;;;;;;;;;;;;;;;
311;xhudj;D;40212;Grünwald;;9;;;;;;;22.06.2009;;;;;;;;
312;cllexunosdk;D;50937;Erwitte;;9;;;;;;;23.06.2009;;;;;;;;
313;f;D;38685;Zeven;;12;;;;;;;23.06.2009;;;;;;;;
314;kahdmqkkjucdjl;D;;Gelsenkirchen;;1.001;;;;;;;;;;;;;;;
315;fzgbihvizcmlqy;D;40213;Mannheim;;1.001;;;;;;;;;;;;;;;
316;ttyxktsedc;D;60314;Waldkirch;;1.001;;;;;;;;;;;;;;;
317;cgeeb;D;;Staufen im Breisgau;;9;;;;;;;24.06.2009;;;;;;;;
318;btfn;D;20099;Burgrieden;;5;;;;;;;26.02.2013;;;;;;;;
319;dznmwlzgmbmzvgk;D;25474;Wien;;5;;;;;;;27.11.2014;;;;;;;;
320;us;D;31228;Jena;;12;;;;;;;24.06.2009;;;;;;;;
321;aemwvhmjd;D;31275;Augsburg;;12;;;;;;;24.06.2009;;;;;;;;
322;szjrqeaidn;D;86316;Bergheim;;22;;;;;;;26.06.2009;;;;;;;;
324;oogivcxerpiiqmamw;CN;10081;Nürnberg;;7.001;;;;;;;;;;;;;;;
325;ulyqnnp;D;61348;Eppertshausen;;7;;;;;;;23.10.2009;;;;;;;;
327;zvbbbznrwxbwnt;D;;Eschenburg-Eibelshausen;;9;;;;;;;22.05.2014;;;;;;;;
328;gdmlvesfmgdjjhh;D;21509; Landau;;5;;;;;;;25.06.2009;;;;;;;;
329;rqjx;D;21509;Berlin ;;5;;;;;;;20.06.2012;;;;;;;;
330;cokdgh;D;65187;Gronau;;7;;;;;;;27.05.2013;;;;;;;;
331;ecvirwrvjwrglixy;D;47829;Tübingen;;9;;;;;;;29.06.2009;;;;;;;;
332;ilbrmsjjcxevj;D;82008;Augsburg;;22;;;;;;;29.06.2009;;;;;;;;
333;vuciidi;D;82008;Hannover;;22;;;;;;;29.06.2009;;;;;;;;
334;xwfgjuqzp;D;27607;Wassertrüdingen;;1.001;;;;;;;;;;;;;;;
335;azvabhuy;D;3119;Mainhausen;;1.001;;;;;;;;;;;;;;;
336;rbzqxtztvnyilginac;D;94327;Eschweiler;;1.001;;;;;;;;;;;;;;;
337;bbgavezrzzywvgbsg;D;23909;Mühlheim;;1.001;;;;;;;;;;;;;;;
338;kyjqklzos;D;65719;Waldstetten;;1.001;;;;;;;;;;;;;;;
339;sgqtdail;D;9117;Göttingen;;1.001;;;;;;;;;;;;;;;
340;gl;D;21220;Pulsnitz;;98;;;;;;;19.10.2009;;;;;;;;
341;al;D;41236;Köln ;;9;;;;;;;;;;;;;;;
342;ztheatgkiqvf;D;41236;Hohenthurm;;9;;;;;;;;;;;;;;;
343;yzulinpe;D;41236;Ilsede;;9;;;;;;;06.07.2009;;;;;;;;
344;gaudjejq;D;1324;Riedstadt;;44;;;;;;;;;;;;;;;
345;fijexb;D;99198;Bonn;;1.001;;;;;;;;;;;;;;;
346;hdcapkxyaka;D;66115;Mannheim;;1.001;;;;;;;;;;;;;;;
347;kkjdxprqwqvlf;D;;Stuttgart;;1.001;;;;;;;;;;;;;;;
348;euaeuxm;D;90425;Lübeck;;1.001;;;;;;;;;;;;;;;
349;mfduqafkabxlf;D;67126;Bad Nauheim;;1.001;;;;;;;;;;;;;;;
352;grjsdvrcgbqwjtxbg;D;4319;Baden-Baden;;44;;;;;;;20.08.2009;;;;;;;;
353;ltesc;D;6198;Weimar-Tröbsdorf;;44;;;;;;;03.05.2010;;;;;;;;
354;vfnwbpps;D;31787;Wernigerode;;1.001;;;;;;;;;;;;;;;
358;phc;D;51467;Kitzingen;;16;;;;;;;18.09.2012;;;;;;;;
360;zcppiuitd;D;2977;Köln;;44;;;;;;;24.11.2010;;;;;;;;
361;bvdbeovwbf;D;;Heusweiler;;11;;;;;;;22.09.2009;;;;;;;;
362;biybgiupijrmi;D;74080;Oer-Erkenschwick;;1.001;;;;;;;;;;;;;;;
363;rofrbwmnfdrmnhut;D;7747;Friedrichsdorf;;44;;;;;;;10.06.2009;;;;;;;;
364;hlilpvlv;EG;1211;Euskirchen;;7.001;;;;;;;;;;;;;;;
365;pbuhhzbrkbmkuau;D;58769;Ronnenberg;;4;;;;;;;21.07.2009;;;;;;;;
366;whuucmbkkqg;D;8315;Rotach-Egern;;44;;;;;;;21.10.2009;;;;;;;;
367;lxgdbmsgluigblzgrh;D;64807;Oberkirch;;1.001;;;;;;;;;;;;;;;
368;avakpfekjjzvxtdm;D;36037;Kizilay - Ankara;;1.001;;;;;;;;;;;;;;;
369;ekzeqqau;D;6198;Bad Aibling;;1.001;;;;;;;;;;;;;;;
371;nhlqoosjhrgsch;D;59067;Hamburg;;1.001;;;;;;;;;;;;;;;
372;txkikaophx;D;19079;Raßnitz;;1.001;;;;;;;25.11.2014;;;;;;;;
373;evxiftjmsufbmyeto;D;40210;Sprockhövel;;1.001;;;;;;;;;;;;;;;
374;cspdvxubsbtkc;D;61352;Bruchsal;;7;;;;;;;22.09.2010;;;;;;;;
377;umbcknatljx;D;1067;München;;44;;;;;;;03.02.2010;;;;;;;;
379;vudimzjhu;D;;Bad Vilbel;;11;;;;;;;;;;;;;;;
380;aouewspntyrje;D;99976;Altena;;1.001;;;;;;;;;;;;;;;
381;e;D;6217;Markdorf;;44;;;;;;;22.06.2009;;;;;;;;
382;pxjsqzjt;D;4435;Bremen;;44;;;;;;;22.06.2009;;;;;;;;
383;dgvzwkh;D;4105;Dessau;;44;;;;;;;22.06.2009;;;;;;;;
384;f;D;4315;Greifswald;;44;;;;;;;22.06.2009;;;;;;;;
